user_id,item_id,rate,price
500,1664626921-9,3,300
248,1664627074-28,2,250
700,1664627163-39,5,250
200,1664626864-2,1,250
607,1664627066-27,4,250
679,1664626969-15,5,250
579,1664626993-18,4,250
467,1664627050-25,3,250
248,1664627180-41,2,250
700,1664626977-16,5,300
200,1664626985-17,3,300
607,1664626856-1,5,300
679,1664627017-21,4,300
579,1664627091-30,3,300
467,1664626880-4,5,300
358,1664627172-40,4,300
468,1664627082-29,2,300
247,1664626872-3,4,300
624,1664627123-34,5,300
678,1664627099-31,4,300
356,1664626888-5,4,300
567,1664626961-14,5,300
633,1664627139-36,4,300
246,1664627147-37,3,250
157,1664626928-10,1,250
679,1664627107-32,5,250
423,1664627115-33,5,250
101,1664627034-23,3,250
423,1664626904-7,3,250
678,1664627042-24,4,250
544,1664627188-42,5,250
101,1664626937-11,2,250
578,1664627026-22,4,250
457,1664627196-43,2,300
105,1664627001-19,3,300
106,1664626945-12,4,300
107,1664626913-8,5,300
100,1664627009-20,3,300
101,1664627058-26,5,300
102,1664627155-38,4,300
741,1664627131-35,5,300
346,1664626953-13,5,300
100,1664626896-6,,
101,1664626985-17,3,300
102,1664626856-1,5,300
103,1664627017-21,4,300
104,1664627091-30,3,300
105,1664626880-4,5,300
106,1664627172-40,4,300
107,1664627082-29,2,300
100,1664626872-3,4,300
101,1664626985-17,3,300
102,1664626856-1,5,300
103,1664627017-21,4,300
104,1664627091-30,3,300
136,1664626880-4,5,300
101,1664626921-9,3,300
138,1664627074-28,2,250
139,1664627163-39,5,250
140,1664626864-2,1,250
101,1664627066-27,4,250
119,1664626969-15,5,250
120,1664626993-18,4,250
121,1664627050-25,3,250
122,1664627180-41,2,250
123,1664626977-16,5,300
124,1664626904-7,3,250
125,1664627042-24,4,250
126,1664627188-42,5,250
127,1664626937-11,2,250
128,1664627026-22,4,250
100,1664627196-43,2,300
101,1664627001-19,3,300
102,1664626945-12,4,300
103,1664626913-8,5,300
104,1664627009-20,3,300
105,1664627058-26,5,300
106,1664626937-11,2,250
136,1664626937-12,2,250
137,1664626937-13,2,250
138,1664626937-14,2,250
139,1664626937-15,2,250
140,1664626904-7,3,250
141,1664626904-8,3,250
142,1664626904-9,3,250
143,1664626904-10,3,250
144,1664626904-7,3,250
145,1664626904-8,3,250
146,1664626904-9,3,250
147,1664626904-10,3,250
148,1664626864-2,1,250
149,1664626864-3,1,250
150,1664626864-4,1,250
151,1664626864-5,1,250
136,1664626864-6,1,250
137,1664626856-1,5,300
138,1664626856-2,5,300
139,1664626856-3,5,300
140,1664626856-4,5,300
157,1664626880-4,5,300
136,1664626937-13,2,250
137,1664626937-13,2,250
138,1664626937-13,2,250
139,1664626937-13,2,250
140,1664626864-3,1,250
163,1664626864-3,1,250
